Board Number|Board Name|Junior Kindergarten Enrolment|Kindergarten Enrolment|Grade 1 Enrolment|Grade 2 Enrolment|Grade 3 Enrolment|Grade 4 Enrolment|Grade 5 Enrolment|Grade 6 Enrolment|Grade 7 Enrolment|Grade 8 Enrolment|Total Enrolment
B66052|Toronto DSB|17755|18316|18481|18340|17590|17056|16619|16117|15766|15987|172027
B66087|Trillium Lakelands DSB|1036|1024|1101|1109|1004|1078|1043|1097|1037|1173|10702
B66192|Upper Canada DSB|1631|1777|1754|1818|1832|1739|1790|1870|1694|1805|17710
B66117|Upper Grand DSB|2211|2263|2322|2184|2306|2163|2165|2168|2168|2222|22172
B67148|Waterloo CDSB|1227|1421|1426|1412|1520|1472|1515|1498|1501|1492|14484
B66176|Waterloo Region DSB|3971|4331|4337|4512|4279|4259|4206|4168|4015|4334|42412
B67130|Wellington CDSB|440|491|529|532|540|559|597|572|602|599|5461
B67024|Windsor-Essex CDSB|1024|1142|1185|1229|1357|1390|1389|1475|1536|1604|13331
B67075|York CDSB|3079|3412|3665|3837|3782|3846|3942|3782|3914|4007|37266
B66095|York Region DSB|6866|7577|8318|8684|8455|8420|8746|8554|8810|8869|83299
|Total|126447|135039|139070|139341|137293|135938|136538|135775|134260|139651|1359352
||||||||||||
